latitude,longitude,room_type,accommodates,price,availability_365,review_score,is_entire_home,city
33.98218,-118.4703,Entire home/apt,3,128.0,308,4.86,1,Los Angeles
33.99849,-118.43987,Private room,1,54.0,56,4.89,0,Los Angeles
34.10813,-118.34098,Entire home/apt,4,396.0,25,4.92,1,Los Angeles
34.00961,-118.40798,Entire home/apt,2,226.0,365,4.81,1,Los Angeles
34.10611,-118.35503,Entire home/apt,6,501.0,365,4.57,1,Los Angeles
34.08798,-118.38205,Private room,2,144.0,364,4.85,0,Los Angeles
33.95375,-118.43756,Entire home/apt,2,204.0,274,4.58,1,Los Angeles
34.15642,-118.73423,Private room,2,95.0,365,4.48,0,Los Angeles
34.10654,-118.36747,Entire home/apt,4,329.0,121,4.86,1,Los Angeles
34.02715,-118.49267,Private room,2,99.0,50,4.61,0,Los Angeles
34.11431,-118.42465,Entire home/apt,8,1385.0,363,5.0,1,Los Angeles
34.00758,-118.43713,Entire home/apt,1,73.0,245,4.95,1,Los Angeles
33.98185,-118.46691,Entire home/apt,6,450.0,141,4.83,1,Los Angeles
34.12602,-118.65684,Entire home/apt,2,203.0,155,4.95,1,Los Angeles
34.08507,-118.3697,Entire home/apt,4,943.0,362,,1,Los Angeles
34.09322,-118.25024,Private room,2,160.0,61,4.85,0,Los Angeles
33.78985,-118.2037,Entire home/apt,6,167.0,365,4.83,1,Los Angeles
34.05399,-118.35713,Entire home/apt,4,265.0,82,,1,Los Angeles
34.00952,-118.40946,Entire home/apt,4,322.0,365,4.69,1,Los Angeles
34.08646,-118.25516,Entire home/apt,2,144.0,90,4.88,1,Los Angeles
34.09351,-118.32837,Entire home/apt,5,120.0,142,4.86,1,Los Angeles
34.19134,-118.52282,Entire home/apt,2,260.0,319,4.99,1,Los Angeles
34.01099,-118.47314,Entire home/apt,2,149.0,183,4.95,1,Los Angeles
33.8733,-118.37391,Entire home/apt,5,165.0,315,4.89,1,Los Angeles
34.07137,-118.34399,Entire home/apt,2,107.0,61,,1,Los Angeles
34.17075,-118.6194,Entire home/apt,6,475.0,362,4.71,1,Los Angeles
34.03424,-118.3732,Entire home/apt,2,149.0,309,4.8,1,Los Angeles
34.0869,-118.34993,Entire home/apt,2,95.0,304,4.72,1,Los Angeles
34.04863,-118.25006,Entire home/apt,2,152.0,276,4.84,1,Los Angeles
34.12698085010378,-118.3216322433344,Entire home/apt,4,331.0,319,4.83,1,Los Angeles
34.04827,-118.23603,Private room,2,42.0,365,4.38,0,Los Angeles
34.02517,-118.42694,Private room,1,38.0,101,4.95,0,Los Angeles
34.10367,-118.62536,Entire home/apt,3,184.0,244,4.96,1,Los Angeles
34.04133,-118.43626,Private room,2,94.0,61,4.83,0,Los Angeles
34.02761,-118.40958,Private room,1,55.0,364,4.63,0,Los Angeles
33.79112,-118.32483,Entire home/apt,2,131.0,331,4.91,1,Los Angeles
34.16283,-118.13643,Private room,2,104.0,284,4.92,0,Los Angeles
34.0546,-118.17869,Entire home/apt,4,497.0,358,4.79,1,Los Angeles
34.042051671813304,-118.51315327777152,Entire home/apt,4,250.0,268,4.0,1,Los Angeles
34.08867,-118.24945,Entire home/apt,5,175.0,101,4.84,1,Los Angeles
34.18278,-118.36692,Private room,1,50.0,210,4.84,0,Los Angeles
34.07695,-118.20819,Private room,1,75.0,352,4.77,0,Los Angeles
34.15816,-118.1414,Entire home/apt,4,129.0,241,4.87,1,Los Angeles
34.21181,-118.16425,Entire home/apt,6,234.0,148,4.86,1,Los Angeles
34.09408,-118.35536,Entire home/apt,2,226.0,83,4.95,1,Los Angeles
34.09281,-118.37074,Private room,1,103.0,88,4.89,0,Los Angeles
34.108788,-118.339195,Entire home/apt,4,211.0,365,4.93,1,Los Angeles
34.08282,-118.35294,Entire home/apt,1,77.0,46,4.78,1,Los Angeles
34.11611,-118.32357,Entire home/apt,2,214.0,358,5.0,1,Los Angeles
33.98835,-118.47015,Entire home/apt,4,270.0,90,4.65,1,Los Angeles
34.01435,-118.39237,Entire home/apt,8,538.0,325,4.91,1,Los Angeles
34.57101,-118.13765,Entire home/apt,2,127.0,365,4.83,1,Los Angeles
34.060768127441406,-118.3476104736328,Private room,2,105.0,266,4.88,0,Los Angeles
34.03672,-118.3434,Entire home/apt,2,171.0,365,,1,Los Angeles
34.06102,-118.29926,Entire home/apt,2,119.0,87,4.44,1,Los Angeles
33.82317,-118.38885,Entire home/apt,6,504.0,99,4.92,1,Los Angeles
34.02748,-118.49319,Entire home/apt,2,100.0,304,5.0,1,Los Angeles
34.02788,-118.49326,Entire home/apt,2,125.0,365,4.09,1,Los Angeles
34.09475,-118.37055,Private room,1,82.0,147,4.9,0,Los Angeles
34.09958,-118.28433,Entire home/apt,6,218.0,343,4.78,1,Los Angeles
34.07428,-118.38686,Entire home/apt,4,120.0,364,4.0,1,Los Angeles
34.14327,-118.10633,Entire home/apt,3,450.0,327,5.0,1,Los Angeles
34.00868,-118.45281,Entire home/apt,2,190.0,365,4.83,1,Los Angeles
34.09806823730469,-118.37297058105467,Entire home/apt,6,907.0,175,4.59,1,Los Angeles
34.04827,-118.23603,Private room,2,41.0,358,4.63,0,Los Angeles
33.84515,-118.1563,Private room,1,65.0,8,4.77,0,Los Angeles
34.00236,-118.47622,Private room,2,121.0,36,4.94,0,Los Angeles
34.02675,-118.40067,Entire home/apt,2,110.0,204,4.61,1,Los Angeles
34.07688,-118.3854,Private room,2,108.0,365,5.0,0,Los Angeles
34.1129,-118.15583,Entire home/apt,2,146.0,210,4.88,1,Los Angeles
34.18314,-118.1522,Private room,2,74.0,264,4.97,0,Los Angeles
34.10599,-118.31835,Private room,2,150.0,89,5.0,0,Los Angeles
34.18697,-118.41866,Private room,1,70.0,173,4.94,0,Los Angeles
34.1098950162079,-118.26425557215074,Entire home/apt,9,200.0,60,4.75,1,Los Angeles
34.08518,-118.35108,Entire home/apt,2,95.0,343,4.52,1,Los Angeles
